,Confirmados_Acumulados
26-02-2020,0
27-02-2020,8
28-02-2020,12
29-02-2020,16
01-03-2020,20
02-03-2020,30
03-03-2020,48
04-03-2020,68
05-03-2020,90
06-03-2020,102
07-03-2020,116
08-03-2020,132
09-03-2020,142
10-03-2020,176
11-03-2020,254
12-03-2020,336
13-03-2020,468
14-03-2020,572
15-03-2020,646
16-03-2020,800
17-03-2020,1008
18-03-2020,1240
19-03-2020,1542
20-03-2020,1806
21-03-2020,1976
22-03-2020,2116
23-03-2020,2452
24-03-2020,2892
25-03-2020,3262
26-03-2020,3710
27-03-2020,4234
28-03-2020,4616
29-03-2020,4948
30-03-2020,5638
31-03-2020,6260
01-04-2020,7024
02-04-2020,7718
03-04-2020,8502
04-04-2020,9002
05-04-2020,9520
06-04-2020,10782
07-04-2020,11812
08-04-2020,12974
09-04-2020,13940
10-04-2020,15084
11-04-2020,16012
12-04-2020,16970
13-04-2020,18876
14-04-2020,20748
15-04-2020,22718
16-04-2020,24710
17-04-2020,27000
18-04-2020,28630
19-04-2020,30218
20-04-2020,33260
21-04-2020,36202
22-04-2020,39048
23-04-2020,42060
24-04-2020,45528
25-04-2020,47856
26-04-2020,50090
27-04-2020,53974
28-04-2020,57896
29-04-2020,61792
30-04-2020,65560
01-05-2020,68670
02-05-2020,71656
03-05-2020,74410
04-05-2020,79694
05-05-2020,84162
06-05-2020,88940
07-05-2020,94002
08-05-2020,99062
09-05-2020,102376
10-05-2020,105480
11-05-2020,111716
12-05-2020,117856
13-05-2020,124316
14-05-2020,130750
15-05-2020,138138
16-05-2020,142678
17-05-2020,146156
18-05-2020,154518
19-05-2020,161938
20-05-2020,170042
21-05-2020,178248
22-05-2020,186512
23-05-2020,191344
24-05-2020,195348
25-05-2020,204924
26-05-2020,213770
27-05-2020,222902
28-05-2020,231522
29-05-2020,240458
30-05-2020,246102
31-05-2020,250500
01-06-2020,261406
02-06-2020,271080
03-06-2020,281226
04-06-2020,291252
05-06-2020,301570
