,Confirmados_Defunciones
17-03-2020,0
18-03-2020,6
19-03-2020,6
20-03-2020,8
21-03-2020,8
22-03-2020,12
23-03-2020,14
24-03-2020,20
25-03-2020,24
26-03-2020,40
27-03-2020,56
28-03-2020,86
29-03-2020,104
30-03-2020,132
31-03-2020,184
01-04-2020,228
02-04-2020,280
03-04-2020,348
04-04-2020,428
05-04-2020,494
06-04-2020,610
07-04-2020,734
08-04-2020,832
09-04-2020,956
10-04-2020,1112
11-04-2020,1274
12-04-2020,1450
13-04-2020,1654
14-04-2020,1882
15-04-2020,2112
16-04-2020,2326
17-04-2020,2610
18-04-2020,2884
19-04-2020,3246
20-04-2020,3668
21-04-2020,4098
22-04-2020,4530
23-04-2020,4990
24-04-2020,5516
25-04-2020,6096
26-04-2020,6716
27-04-2020,7286
28-04-2020,7938
29-04-2020,8710
30-04-2020,9418
01-05-2020,10238
02-05-2020,10954
03-05-2020,11692
04-05-2020,12614
05-05-2020,13512
06-05-2020,14340
07-05-2020,15146
08-05-2020,16024
09-05-2020,16860
10-05-2020,17774
11-05-2020,18694
12-05-2020,19668
13-05-2020,20648
14-05-2020,21740
15-05-2020,22852
16-05-2020,23920
17-05-2020,25094
18-05-2020,26276
19-05-2020,27434
20-05-2020,28576
21-05-2020,29720
22-05-2020,30840
23-05-2020,31918
24-05-2020,33134
25-05-2020,34390
26-05-2020,35612
27-05-2020,36800
28-05-2020,38046
29-05-2020,39196
30-05-2020,40414
31-05-2020,41682
01-06-2020,43064
02-06-2020,44362
03-06-2020,45714
04-06-2020,47026
05-06-2020,48220
06-06-2020,49554
07-06-2020,50930
08-06-2020,52406
09-06-2020,53788
10-06-2020,55200
11-06-2020,56540
12-06-2020,58002
13-06-2020,59394
14-06-2020,60832
15-06-2020,62260
16-06-2020,63810
17-06-2020,65314
18-06-2020,66672
19-06-2020,67974
20-06-2020,69210
21-06-2020,70594
22-06-2020,71932
23-06-2020,73218
24-06-2020,74516
25-06-2020,75770
26-06-2020,77112
27-06-2020,78510
28-06-2020,79892
29-06-2020,81412
30-06-2020,82850
01-07-2020,84236
02-07-2020,85642
03-07-2020,87054
04-07-2020,88530
05-07-2020,90036
06-07-2020,91690
07-07-2020,93338
08-07-2020,94818
09-07-2020,96346
10-07-2020,97802
11-07-2020,99286
12-07-2020,100804
13-07-2020,102476
14-07-2020,104092
15-07-2020,105700
16-07-2020,107330
17-07-2020,108870
18-07-2020,110364
19-07-2020,111970
20-07-2020,113578
21-07-2020,115258
22-07-2020,116762
23-07-2020,118332
24-07-2020,119798
25-07-2020,121356
26-07-2020,122926
27-07-2020,124544
28-07-2020,126100
29-07-2020,127470
30-07-2020,128966
31-07-2020,130314
01-08-2020,131784
02-08-2020,133178
03-08-2020,134696
04-08-2020,136250
05-08-2020,137690
06-08-2020,139078
07-08-2020,140368
08-08-2020,141732
09-08-2020,143036
10-08-2020,144388
11-08-2020,145788
12-08-2020,147024
13-08-2020,148252
14-08-2020,149412
15-08-2020,150584
16-08-2020,151736
17-08-2020,152990
18-08-2020,154124
19-08-2020,155294
20-08-2020,156424
21-08-2020,157542
22-08-2020,158688
23-08-2020,159738
24-08-2020,160820
25-08-2020,161910
26-08-2020,162952
27-08-2020,163940
28-08-2020,165004
29-08-2020,166028
30-08-2020,167082
31-08-2020,168178
01-09-2020,169194
02-09-2020,170174
03-09-2020,171158
04-09-2020,172116
05-09-2020,173042
06-09-2020,173962
07-09-2020,174944
08-09-2020,175800
09-09-2020,176764
10-09-2020,177644
11-09-2020,178532
12-09-2020,179462
13-09-2020,180268
14-09-2020,181170
15-09-2020,182054
16-09-2020,182898
17-09-2020,183700
18-09-2020,184442
19-09-2020,185244
20-09-2020,186090
21-09-2020,186908
22-09-2020,187770
23-09-2020,188562
24-09-2020,189382
25-09-2020,190122
26-09-2020,190896
27-09-2020,191624
28-09-2020,192378
29-09-2020,193124
30-09-2020,193830
01-10-2020,194560
02-10-2020,195294
03-10-2020,196022
04-10-2020,196716
05-10-2020,197464
06-10-2020,198190
07-10-2020,198904
08-10-2020,199618
09-10-2020,200270
10-10-2020,201038
11-10-2020,201764
12-10-2020,202608
13-10-2020,203376
14-10-2020,204120
15-10-2020,204912
16-10-2020,205648
17-10-2020,206442
18-10-2020,207244
19-10-2020,208188
20-10-2020,209062
21-10-2020,210016
22-10-2020,210942
23-10-2020,211862
24-10-2020,212752
25-10-2020,213724
26-10-2020,214724
27-10-2020,215650
28-10-2020,216612
29-10-2020,217594
30-10-2020,218534
31-10-2020,219434
01-11-2020,220352
02-11-2020,221374
03-11-2020,222362
04-11-2020,223350
05-11-2020,224394
06-11-2020,225498
07-11-2020,226446
08-11-2020,227444
09-11-2020,228486
10-11-2020,229458
11-11-2020,230494
12-11-2020,231586
13-11-2020,232620
14-11-2020,233636
15-11-2020,234664
16-11-2020,235698
17-11-2020,236834
18-11-2020,237902
19-11-2020,238894
20-11-2020,240038
21-11-2020,241152
22-11-2020,242402
23-11-2020,243532
24-11-2020,244674
25-11-2020,245774
26-11-2020,246918
27-11-2020,248158
28-11-2020,249284
29-11-2020,250440
30-11-2020,251728
01-12-2020,253042
02-12-2020,254264
03-12-2020,255452
04-12-2020,256628
05-12-2020,257916
06-12-2020,259194
07-12-2020,260542
08-12-2020,261808
09-12-2020,263184
10-12-2020,264524
11-12-2020,265916
12-12-2020,267366
13-12-2020,268776
14-12-2020,270264
15-12-2020,271762
16-12-2020,273234
17-12-2020,274714
18-12-2020,276230
19-12-2020,277828
20-12-2020,279384
21-12-2020,281158
22-12-2020,282778
23-12-2020,284422
24-12-2020,286108
25-12-2020,287780
26-12-2020,289542
27-12-2020,291374
28-12-2020,293304
29-12-2020,295246
30-12-2020,297138
31-12-2020,298910
01-01-2021,300876
02-01-2021,302856
03-01-2021,304922
04-01-2021,307140
05-01-2021,309260
06-01-2021,311578
07-01-2021,313698
08-01-2021,316062
09-01-2021,318328
10-01-2021,320716
11-01-2021,323310
12-01-2021,325750
13-01-2021,328218
14-01-2021,330738
15-01-2021,333322
16-01-2021,335868
17-01-2021,338644
18-01-2021,341426
19-01-2021,344278
20-01-2021,347228
21-01-2021,350036
22-01-2021,352794
23-01-2021,355450
24-01-2021,358258
25-01-2021,361168
26-01-2021,363970
27-01-2021,366586
28-01-2021,369046
29-01-2021,371518
30-01-2021,373964
31-01-2021,376272
01-02-2021,378824
02-02-2021,381292
03-02-2021,383576
04-02-2021,385718
05-02-2021,387762
06-02-2021,389826
07-02-2021,391722
08-02-2021,393834
