,Confirmados_Negativos
31-12-2019,0
01-01-2020,50
02-01-2020,194
03-01-2020,372
04-01-2020,462
05-01-2020,624
06-01-2020,956
07-01-2020,1324
08-01-2020,1662
09-01-2020,2044
10-01-2020,2338
11-01-2020,2428
12-01-2020,2686
13-01-2020,3136
14-01-2020,3614
15-01-2020,4146
16-01-2020,4606
17-01-2020,4976
18-01-2020,5114
19-01-2020,5356
20-01-2020,5940
21-01-2020,6488
22-01-2020,7066
23-01-2020,7594
24-01-2020,8012
25-01-2020,8222
26-01-2020,8538
27-01-2020,9094
28-01-2020,9586
29-01-2020,10006
30-01-2020,10468
31-01-2020,10772
01-02-2020,10904
02-02-2020,11110
03-02-2020,11390
04-02-2020,11898
05-02-2020,12364
06-02-2020,12826
07-02-2020,13168
08-02-2020,13304
09-02-2020,13564
10-02-2020,14222
11-02-2020,14714
12-02-2020,15238
13-02-2020,15622
14-02-2020,15948
15-02-2020,16100
16-02-2020,16306
17-02-2020,16800
18-02-2020,17310
19-02-2020,17680
20-02-2020,18034
21-02-2020,18296
22-02-2020,18402
23-02-2020,18624
24-02-2020,19046
25-02-2020,19578
26-02-2020,19986
27-02-2020,20368
28-02-2020,20796
29-02-2020,20960
01-03-2020,21246
02-03-2020,21794
03-03-2020,22346
04-03-2020,22802
05-03-2020,23234
06-03-2020,23566
07-03-2020,23708
08-03-2020,23918
09-03-2020,24390
10-03-2020,24866
11-03-2020,25424
12-03-2020,26108
13-03-2020,26852
14-03-2020,27192
15-03-2020,27608
16-03-2020,28186
17-03-2020,29416
18-03-2020,30756
19-03-2020,32134
20-03-2020,33386
21-03-2020,34206
22-03-2020,34896
23-03-2020,36734
24-03-2020,39036
25-03-2020,41514
26-03-2020,43836
27-03-2020,46514
28-03-2020,47730
29-03-2020,48946
30-03-2020,51614
31-03-2020,54024
01-04-2020,56534
02-04-2020,59294
03-04-2020,62064
04-04-2020,63784
05-04-2020,64964
06-04-2020,67882
07-04-2020,70918
08-04-2020,74240
09-04-2020,76706
10-04-2020,79532
11-04-2020,81480
12-04-2020,82996
13-04-2020,86838
14-04-2020,90892
15-04-2020,94690
16-04-2020,98244
17-04-2020,102190
18-04-2020,103974
19-04-2020,105578
20-04-2020,109984
21-04-2020,113908
22-04-2020,117736
23-04-2020,122030
24-04-2020,126752
25-04-2020,129126
26-04-2020,131010
27-04-2020,136052
28-04-2020,141252
29-04-2020,147122
30-04-2020,153764
01-05-2020,157198
02-05-2020,160128
03-05-2020,163172
04-05-2020,169974
05-05-2020,175964
06-05-2020,182796
07-05-2020,189642
08-05-2020,197142
09-05-2020,201072
10-05-2020,203768
11-05-2020,211594
12-05-2020,219800
13-05-2020,227468
14-05-2020,235770
15-05-2020,244330
16-05-2020,248434
17-05-2020,250960
18-05-2020,259924
19-05-2020,268212
20-05-2020,277064
21-05-2020,285642
22-05-2020,294824
23-05-2020,299168
24-05-2020,302614
25-05-2020,312356
26-05-2020,321944
27-05-2020,331806
28-05-2020,341262
29-05-2020,351106
30-05-2020,356252
31-05-2020,359762
01-06-2020,370254
02-06-2020,380490
03-06-2020,391258
04-06-2020,401810
05-06-2020,413030
06-06-2020,418258
07-06-2020,421906
08-06-2020,433218
09-06-2020,445166
10-06-2020,457240
11-06-2020,469218
12-06-2020,481712
13-06-2020,486952
14-06-2020,490972
15-06-2020,504322
16-06-2020,517014
17-06-2020,529140
18-06-2020,540886
19-06-2020,552548
20-06-2020,558090
21-06-2020,561394
22-06-2020,572754
23-06-2020,585426
24-06-2020,597320
25-06-2020,610084
26-06-2020,623218
27-06-2020,629406
28-06-2020,633694
29-06-2020,648138
30-06-2020,661880
01-07-2020,676286
02-07-2020,689472
03-07-2020,703422
04-07-2020,709096
05-07-2020,713514
06-07-2020,728548
07-07-2020,743356
08-07-2020,757848
09-07-2020,771630
10-07-2020,785478
11-07-2020,791584
12-07-2020,795780
13-07-2020,811064
14-07-2020,825796
15-07-2020,841982
16-07-2020,857854
17-07-2020,874342
18-07-2020,881616
19-07-2020,885694
20-07-2020,902176
21-07-2020,917986
22-07-2020,934152
23-07-2020,949574
24-07-2020,964880
25-07-2020,971436
26-07-2020,975776
27-07-2020,990976
28-07-2020,1006902
29-07-2020,1022150
30-07-2020,1037530
31-07-2020,1052646
01-08-2020,1059730
02-08-2020,1063716
03-08-2020,1078444
04-08-2020,1094388
05-08-2020,1110052
06-08-2020,1125240
07-08-2020,1140746
08-08-2020,1147290
09-08-2020,1151180
10-08-2020,1167244
11-08-2020,1183500
12-08-2020,1199390
13-08-2020,1215342
14-08-2020,1231216
15-08-2020,1237950
16-08-2020,1241950
17-08-2020,1257584
18-08-2020,1274244
19-08-2020,1290384
20-08-2020,1304704
21-08-2020,1320782
22-08-2020,1327808
23-08-2020,1331710
24-08-2020,1347446
25-08-2020,1364086
26-08-2020,1383212
27-08-2020,1402110
28-08-2020,1420880
29-08-2020,1429774
30-08-2020,1434092
31-08-2020,1450938
01-09-2020,1469508
02-09-2020,1488432
03-09-2020,1507280
04-09-2020,1526082
05-09-2020,1533762
06-09-2020,1537892
07-09-2020,1555482
08-09-2020,1574290
09-09-2020,1593022
10-09-2020,1611778
11-09-2020,1629564
12-09-2020,1636820
13-09-2020,1640914
14-09-2020,1658608
15-09-2020,1672628
16-09-2020,1677384
17-09-2020,1695382
18-09-2020,1713502
19-09-2020,1720524
20-09-2020,1724590
21-09-2020,1741610
22-09-2020,1760028
23-09-2020,1777870
24-09-2020,1794834
25-09-2020,1812284
26-09-2020,1819508
27-09-2020,1823538
28-09-2020,1841540
29-09-2020,1860286
30-09-2020,1878302
01-10-2020,1895212
02-10-2020,1912026
03-10-2020,1918710
04-10-2020,1922644
05-10-2020,1938088
06-10-2020,1955766
07-10-2020,1973142
08-10-2020,1989648
09-10-2020,2005536
10-10-2020,2011924
11-10-2020,2016138
12-10-2020,2033282
13-10-2020,2052568
14-10-2020,2070806
15-10-2020,2087332
16-10-2020,2105590
17-10-2020,2112872
